Country, ,County,YEAR,Month,Date-1,Season,SeasonNum,Duration_H,Inj,Death,Damage,Category1_wzero,Class,PRCP,TMAX,TMIN,TAVG,Category,County-1,Year,Month-1,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,TMAX13,TMAX14,TMAX15,TMAX16,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMIN13,TMIN14,TMIN15,TMIN16,RunOff1,RunOff2,RunOff3,RunOff4,RunOff5,RunOff6,RunOff7,RunOff8,RunOff9,RunOff10,RunOff11,RunOff12,RunOff13,RunOff14,RunOff15,RunOff16,Wind1,Wind2,Wind3,Wind4,Wind5,Wind6,Wind7,Wind8,Wind9,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16
United States of America,TEXAS,Bexar,1996,9,9/24/1996,Fall,3,1.583333333,0,0,16298.1937,4,DS4,24.65,33.05,19.7,26.375,3,Bexar,1996,9,238.671,207.854,59.321,131.84,29.851,155.359,238.151,235.797,37.215,56.28,76.659,31.102,44.082,16.577,103.734,17.15,32.234,32.025,33.064,31.726,31.731,32.173,33.34,31.36,33.572,33.346,32.882,35.198,33.042,33.003,32.066,35.199,18.477,22.412,20.748,21.652,19.494,19.557,22.636,19.636,23.86,21.68,21.51,20.794,21.43,21.746,20.102,20.135,144.927,95.698,14.263,20.009,4.994,30.777,57.033,60.995,5.101,7.633,10.181,6.549,12.514,3.453,12.394,4.144,3.55,3.272,4.451,3.555,2.764,2.378,2.98,2.98,2.953,3.849,4.239,3.655,4.239,3.722,3.056,3.926
United States of America,TEXAS,Bexar,1997,6,6/22/1997,Summer,2,8.5,10,0,4857404.065,1,DS1,72.75,30,19.45,24.725,1,Bexar,1997,6,81.709,53.731,40.668,80.859,47.579,11.818,67.734,54.238,66.391,173.032,3.517,78.629,94.423,34.575,75.687,83.885,34.082,34.292,35.192,36.652,32.552,33.548,33.469,34.018,32.288,31.912,36.874,35.765,32.992,35.188,32.292,33.075,22.812,22.762,20.512,23.412,22.731,21.309,22.094,22.559,21.862,22.042,21.837,23.093,21.839,22.56,21.762,21.849,10.254,12.497,17.464,9.224,13.657,3.482,11.671,8.701,8.379,46.154,3.967,8.925,48.874,6.443,30.112,12.45,3.78,3.78,3.982,3.913,4.162,3.711,3.487,3.711,3.954,3.982,3.424,3.469,3.639,3.814,3.982,3.864
United States of America,TEXAS,Bexar,1997,6,6/21/1997,Summer,2,13,0,0,39814.78742,1,DS1,67.6,26.7,18.9,22.8,1,Bexar,1997,6,81.709,53.731,40.668,80.859,47.579,11.818,67.734,54.238,66.391,173.032,3.517,78.629,94.423,34.575,75.687,83.885,34.082,34.292,35.192,36.652,32.552,33.548,33.469,34.018,32.288,31.912,36.874,35.765,32.992,35.188,32.292,33.075,22.812,22.762,20.512,23.412,22.731,21.309,22.094,22.559,21.862,22.042,21.837,23.093,21.839,22.56,21.762,21.849,10.254,12.497,17.464,9.224,13.657,3.482,11.671,8.701,8.379,46.154,3.967,8.925,48.874,6.443,30.112,12.45,3.78,3.78,3.982,3.913,4.162,3.711,3.487,3.711,3.954,3.982,3.424,3.469,3.639,3.814,3.982,3.864
United States of America,TEXAS,Bexar,1997,6,6/6/1997,Summer,2,1.5,0,0,23888.87245,1,DS1,15.5,29.45,20.6,25.025,1,Bexar,1997,6,81.709,53.731,40.668,80.859,47.579,11.818,67.734,54.238,66.391,173.032,3.517,78.629,94.423,34.575,75.687,83.885,34.082,34.292,35.192,36.652,32.552,33.548,33.469,34.018,32.288,31.912,36.874,35.765,32.992,35.188,32.292,33.075,22.812,22.762,20.512,23.412,22.731,21.309,22.094,22.559,21.862,22.042,21.837,23.093,21.839,22.56,21.762,21.849,10.254,12.497,17.464,9.224,13.657,3.482,11.671,8.701,8.379,46.154,3.967,8.925,48.874,6.443,30.112,12.45,3.78,3.78,3.982,3.913,4.162,3.711,3.487,3.711,3.954,3.982,3.424,3.469,3.639,3.814,3.982,3.864
United States of America,TEXAS,Bexar,1997,10,10/7/1997,Fall,3,3,0,0,127407.3197,4,DS4,35.03333333,29.63333333,20.56666667,25.1,3,Bexar,1997,10,154.593,67.185,109.484,37.496,35.025,34.7,58.465,35.25,56.616,43.61,100.43,0.723,105.146,27.69,77.461,63.881,27.447,28.981,26.676,28.616,28.397,28.966,27.746,30.319,27.94,30.849,27.467,30.096,27.472,27.199,28.35,29.516,15.489,16.687,13.558,15.458,14.032,15.702,13.51,17.285,15.505,17.172,15.579,17.328,13.39,15.345,16.415,18.038,59.825,11.362,14.397,5.017,5.482,4.921,7.319,5.221,17.463,6.976,18.012,5.184,14.527,4.829,11.425,15.715,4.377,4.124,4.449,4.449,3.674,4.176,4.394,4.944,4.18,4.335,3.832,3.964,4.181,4.944,4.18,4.449
United States of America,TEXAS,Bexar,1998,1,1/31/1998,Winter,4,0.5,0,0,23524.93993,4,DS4,38.96666667,19.63333333,13.53333333,16.58333333,3,Bexar,1998,1,11.397,38.007,39.039,65.799,103.563,75.656,108.824,45.835,15.615,21.238,13.869,116.589,24.989,70.794,28.469,111.975,18.275,18.044,18.183,17.086,14.899,14.774,17.92,19.46,15.08,15.364,19.693,12.925,21.341,12.911,16.986,14.984,6.211,5.776,4.682,4.846,4.506,3.709,4.19,8.081,1.986,0.849,10.194,7.461,5.628,3.758,5.108,5.466,7.768,6.281,66.92,9.452,29.397,20.045,23.901,6.333,5.228,4.296,4.568,55.284,4.934,10.816,52.352,16.426,4.981,4.642,4.599,4.215,4.803,4.29,4.456,4.406,5.061,4.778,4.786,4.981,5.42,5.42,5.401,4.642
United States of America,TEXAS,Bexar,1998,1,1/6/1998,Winter,4,1.5,0,0,7841.646644,4,DS4,19,20.56666667,14.83333333,17.7,3,Bexar,1998,1,11.397,38.007,39.039,65.799,103.563,75.656,108.824,45.835,15.615,21.238,13.869,116.589,24.989,70.794,28.469,111.975,18.275,18.044,18.183,17.086,14.899,14.774,17.92,19.46,15.08,15.364,19.693,12.925,21.341,12.911,16.986,14.984,6.211,5.776,4.682,4.846,4.506,3.709,4.19,8.081,1.986,0.849,10.194,7.461,5.628,3.758,5.108,5.466,7.768,6.281,66.92,9.452,29.397,20.045,23.901,6.333,5.228,4.296,4.568,55.284,4.934,10.816,52.352,16.426,4.981,4.642,4.599,4.215,4.803,4.29,4.456,4.406,5.061,4.778,4.786,4.981,5.42,5.42,5.401,4.642
United States of America,TEXAS,Bexar,1998,2,2/21/1998,Winter,4,2,0,0,7841.646644,4,DS4,12.45,17.75,6.65,12.2,3,Bexar,1998,2,78.48,28.852,58.207,55.705,54.452,16.718,64.651,77.348,52.685,70.855,66.929,83.625,6.553,3.174,140.705,50.476,15.135,19.802,20.093,17.223,16.221,22.501,14.525,20.909,19.445,22.312,18.76,19.503,24.784,22.101,15.106,20.039,3.461,5.445,4.765,5.934,3.884,8.028,3.578,6.834,5.921,9.611,5.601,12.254,9.694,7.507,5.895,7.155,15.465,4.998,23.197,7.284,16.009,12.43,21.356,9.684,7.78,8.662,8.75,51.253,3,2.895,44.818,20.83,4.361,4.383,4.383,4.847,3.91,4.927,4.84,4.765,4.361,5.016,4.842,4.847,4.901,6.157,4.285,5.24
United States of America,TEXAS,Bexar,1998,3,3/16/1998,Spring,1,2,0,0,47049.87986,2,DS2,32,21.66666667,11.7,16.68333333,2,Bexar,1998,3,90.29,4.335,85.437,23.055,25.856,36.293,25.9,13.593,23.483,24.91,6.486,19.945,0.924,24.07,21.349,23.955,20.595,26.719,20.368,22.989,23.773,24.992,25.124,26.025,26.363,25.008,24.434,26.719,27.029,26.765,25.386,26.312,7.596,11.125,7.201,10.308,9.763,11.223,11.767,10.898,12.991,9.641,9.937,13.989,10.765,11.778,11.35,13.04,29.963,3.174,17.912,4.266,12.079,9.864,15.082,3.769,4.644,4.47,3.394,29.369,2.912,4.507,33.961,11.201,5.284,4.772,4.419,4.957,4.5,4.155,4.686,4.749,4.607,4.419,4.686,4.61,4.772,4.749,5.05,4.438
United States of America,TEXAS,Bexar,1998,8,8/22/1998,Summer,2,8.5,0,0,94099.75973,1,DS1,71.1,25,22.2,23.6,1,Bexar,1998,8,46.436,44.902,7.541,128.344,38.203,94.385,111.146,96.289,23.749,32.629,198.577,43.733,67.376,25.281,130.282,30.562,36.193,36.604,37.779,33.97,33.984,34.863,35.243,36.69,36.329,36.269,36.239,35.578,35.567,34.328,32.699,35.629,23.178,23.923,23.267,22.484,22.901,23.199,23.161,23.803,23.303,23.883,23.876,23.647,23.506,23.182,23.063,23.588,9.862,7.443,5.925,24.078,10.905,11.66,16.843,12.541,7.287,4.628,28.209,7.912,9.587,7.311,24.778,4.966,2.695,3.671,3.82,3.6,3.707,3.682,3.707,3.87,3.15,3.15,3.335,3.183,2.961,3.389,3.15,2.511
